username, created_at, lng, lat, text
MarkPattisonNFL, Thu Apr 23 15:57:55 +0000 2020, -122.296120, 47.437180, #tbt Grateful to the NFL Networks for filming Life After Football segment two years ago on Mt Rainier with me.  Sup… https://t.co/9kDHnudGf6 
garrett_kelly, Thu Apr 23 15:57:57 +0000 2020, -122.630908, 45.536402, It’s such a charming village. Cornwall in general is gorgeous and Mousehole is no exception. https://t.co/r402uSVXI0 
domshyra, Thu Apr 23 15:57:58 +0000 2020, -122.630908, 45.536402, @_TheWand3r3r_ @obtother @zoramag oh not judging you at all. i’m just saying on this topic you’re static. you have… https://t.co/90veGZltS0 
Motley_Su, Thu Apr 23 15:58:03 +0000 2020, -122.031668, 47.373341, @chasingthecrows Hugs 
steveconsultsp1, Thu Apr 23 15:58:03 +0000 2020, -117.428360, 47.745223, @AnthonyBonk4 To me, a bit too much. 
meinmidstofmany, Thu Apr 23 15:58:08 +0000 2020, -122.330800, 47.604600, My evil captor has her uses.  She's a great pillow,  and I can dream of my Terrible and ultimate rule of Planet ear… https://t.co/ngfkcaa4f3 
LlONS__, Thu Apr 23 15:58:16 +0000 2020, -122.669236, 47.561802, @freejwatch @swaggymiIkshake https://t.co/fn0zd203nZ 
bryand85, Thu Apr 23 15:58:16 +0000 2020, -122.506779, 47.157103, To whoever got Alex Trebek trending causing me to hold my breath... https://t.co/YlpTx91gf7 
PattyMa100753, Thu Apr 23 15:58:24 +0000 2020, -120.583402, 44.145437, Problem is, when my sister-in-law put several hundred thousand dollars in her safe, it was stolen by a trusted “fri… https://t.co/nIfHni1Co1 
allyct1200, Thu Apr 23 15:58:24 +0000 2020, -120.583402, 44.145437, @MakeupByJxb @JeffreeStar @shanedawson One day love 💖💖💖 
Tyloading9, Thu Apr 23 15:58:24 +0000 2020, -122.923516, 47.064528, I say action itsssaww movieeee ugh ! 
RossFletcher1, Thu Apr 23 15:58:24 +0000 2020, -122.330602, 47.614817, @Steve_Crossman @arlowhite @WeAreECS Still waiting for the concierge fee you promised me 😂... Ps every time I go to… https://t.co/nwktyBQAbo 
C_Topps, Thu Apr 23 15:58:33 +0000 2020, -122.205946, 47.773496, Lmao I called the shop 
CoachTB02, Thu Apr 23 15:58:33 +0000 2020, -122.260407, 47.804248, He so fast he make fast people look not fast! 💯 Appreciated the excitement to get better day in a day out! Remember… https://t.co/w2vXW5HHTK 
Proto_pasta, Thu Apr 23 15:58:35 +0000 2020, -122.630908, 45.536402, @_Tinkerz @ChaosCoreTech @Fillamentum @flowalistik What do you think @joeltelling @3dprintingnerd? 
dlkluth, Thu Apr 23 15:58:38 +0000 2020, -114.143262, 45.494552, My favorite book. I think about it practically everyday while working on my masters in agriculture and while living… https://t.co/q9wtwmMGzJ 
nahmandolphins, Thu Apr 23 15:58:42 +0000 2020, -122.630908, 45.536402, Today is another great day to stan Megan Thee Stallion 
Deeanthony_GOES, Thu Apr 23 15:58:46 +0000 2020, -122.330602, 47.614817, OMW BE THERE IN 15 MINS 
soltoseedfarm, Thu Apr 23 15:58:49 +0000 2020, -120.882482, 47.273022, A taco truck on every corner would be nice right about now. 
kylecat10, Thu Apr 23 15:58:53 +0000 2020, -122.630908, 45.536402, @Vicki34F @funder neither do prostitutes. 
NoahRiffe, Thu Apr 23 15:58:54 +0000 2020, -122.061771, 47.678813, Morning vibes https://t.co/Vp6NvN9fT0 
KennyOstrer, Thu Apr 23 15:58:55 +0000 2020, -122.588975, 45.630589, @MysterySolvent "I work for a fucking moron" 
TokyoWiz, Thu Apr 23 15:58:55 +0000 2020, -123.706519, 46.967072, #Now https://t.co/uaDqYaXd13予想屋と呼ばれる学者がいる。内訳は「5、6月に第一段階、7、8月に第二段階、9、10月に第三段階、11、12…」御粗末な予想である。治験開始を7月から実施するが直接人体で… https://t.co/lL5qIWaCSK 
ChrisTeso, Thu Apr 23 15:58:57 +0000 2020, -122.630908, 45.536402, @ohrichinal @OregonGovBrown Emily’s is https://t.co/D5WahxCkx8 
pegdid, Thu Apr 23 15:59:03 +0000 2020, -122.330602, 47.614817, @QuancyClayborne Hamilton McNutt 
Bgivey, Thu Apr 23 15:59:09 +0000 2020, -124.044307, 46.497139, @Roonie_Bear @texasrecks https://t.co/xWimp3l62X 
sabinasoubrette, Thu Apr 23 15:59:10 +0000 2020, -122.330602, 47.614817, Why yes, I am a nerd. Why do you ask?https://t.co/O8rKMHZ6As 
WerewolfCoach, Thu Apr 23 15:59:12 +0000 2020, -122.330602, 47.614817, @JChipmunky squall 
jerisbrisk, Thu Apr 23 15:59:15 +0000 2020, -122.061771, 47.678813, @RedOnBrandon1 One of my favs:S2E9 The Measure of a Man https://t.co/vqr0gnWhVG 
JBlock49, Thu Apr 23 15:59:18 +0000 2020, -122.630908, 45.536402, uzi the shadow hokage of hip-hop 
thisisjustaride, Thu Apr 23 15:59:20 +0000 2020, -122.433195, 45.510141, Great thread 🤣 
ThatsSoo_Ravin, Thu Apr 23 15:59:21 +0000 2020, -120.583402, 44.145437, Honestly I just want summer 13 vibes back 
zagupoz, Thu Apr 23 15:59:22 +0000 2020, -117.434547, 47.667438, Just had to block my 5th Arizona Hoops fan the block party is growing! #Gozags 
Tyloading9, Thu Apr 23 15:59:24 +0000 2020, -122.923516, 47.064528, Elite 8 , a final four , and a finals too all be played. GGGs 
noboddiii, Thu Apr 23 15:59:24 +0000 2020, -122.637309, 48.289541, I don’t feel like a people person today. At all. Trying my best lol 
MrsGatewoodWH, Thu Apr 23 15:59:25 +0000 2020, -122.935530, 45.530779, Joined Ms. Blums 2nd grade morning meeting today! It was show and tell day. I got to see Fidel’s birds! So fun!… https://t.co/Z2zszGfC37 
GoDuckYourself, Thu Apr 23 15:59:27 +0000 2020, -122.877527, 45.552215, @Dusty_Harrah Needs to strengthen his grip or he is going to fight the big right miss 
KaliaJasmine, Thu Apr 23 15:59:28 +0000 2020, -122.630908, 45.536402, @unspiredprod I’m actually surprised more people haven’t used it lmao 
Witdarkstar, Thu Apr 23 15:59:31 +0000 2020, -122.042544, 47.542814, @DavidEllis Sorry to hear that Cora got so spooked. That was a frustrating power outage. 
BenedettoSam, Thu Apr 23 15:59:33 +0000 2020, -123.754776, 48.621596, @kinsellawarren Started following you. Not sure if it’ll be a post pandemic thing yet 
TallPaulsLife, Thu Apr 23 15:59:34 +0000 2020, -122.818486, 49.111519, @SPTO Hhaahaa love the honesty on all fronts 
kylecat10, Thu Apr 23 15:59:35 +0000 2020, -122.630908, 45.536402, @ann32409 @funder it’s okay. we don’t really care about your baseless, blanket opinions anyways. 
Deeanthony_GOES, Thu Apr 23 15:59:37 +0000 2020, -122.330602, 47.614817, I ain't even see you called 
KetoHiking, Thu Apr 23 15:59:42 +0000 2020, -122.330602, 47.614817, Meanwhile, out in the world... https://t.co/FLVcZaDzpm 
NinaHimes, Thu Apr 23 15:59:42 +0000 2020, -122.330602, 47.614817, @TravisMayfield Horror! Harder to find good new ones these days though without cheap copouts 
ApologeticsDude, Thu Apr 23 15:59:43 +0000 2020, -122.971884, 46.727290, @HowToBuildATent One Republican law maker here is running for Governor and he is sueing Governor Inslee over this i… https://t.co/wmPzjTUkAC 
matuna, Thu Apr 23 15:59:44 +0000 2020, -119.132102, 46.245556, @ForrestBates Congrats my man!!! Damn proud of you! So jelly as well. 
Luisa97209, Thu Apr 23 15:59:46 +0000 2020, -122.630908, 45.536402, @thehill Bullshit we are all worried about it. If Republicans were the only ones worried we wouldn't spend $700 bil… https://t.co/WgTW6POrKo 
tuckerlisa67, Thu Apr 23 15:59:55 +0000 2020, -122.061771, 47.678813, I'm working on understanding #PowerPlatform but I got the #thrivekudos down.  I might spend my whole day showering… https://t.co/wzMpLsJW7b 
jamesm10983, Thu Apr 23 15:59:54 +0000 2020, -122.330602, 47.614817, I find it strange my facial recognition is working sometimes on my iPhone with this mask on. https://t.co/erCuVwot1p 
rayyenkana, Thu Apr 23 16:00:01 +0000 2020, -122.311727, 49.050846, Getting the exercise in on a daily basis, is a great start to the day!..Have a great Thursday friends!.Text:… https://t.co/BXbp3qGN8v 
allyct1200, Thu Apr 23 16:00:01 +0000 2020, -120.583402, 44.145437, @leanda71 @JeffreeStar @lvndrbeauty @LipstickGeekMUA @shanedawson They are very smooth! Easy to blend out, not too much work to work with. 
spazz_monkey_CN, Thu Apr 23 16:00:02 +0000 2020, -122.194398, 47.481598, Music is coming soon I promise 
pdxpolicelog, Thu Apr 23 16:00:02 +0000 2020, -122.534002, 45.534216, UNWANTED PERSON at 12500 NE HALSEY ST, PORT [Portland Police #PP20000131954] 08:47 #pdx911 
RetroLance, Thu Apr 23 16:00:02 +0000 2020, -122.630908, 45.536402, @ChristopOConnor @ambrown More suited for using in place of paper towels. 
pdxfirelog, Thu Apr 23 16:00:02 +0000 2020, -122.666278, 45.540433, MED - MEDICAL at 2500 N WILLIAMS AVE, PORT [Portland Fire #RP20000033052] 07:51 #pdx911 
GlynFWPS, Thu Apr 23 16:00:02 +0000 2020, -122.334461, 47.307568, @mLe206 I’d love to hear more. 
pdxpolicelog, Thu Apr 23 16:00:03 +0000 2020, -122.559553, 45.516589, UNWANTED PERSON at 10100 SE WASHINGTON ST, PORT [Portland Police #PP20000131874] 07:12 #pdx911 
snohopanthers, Thu Apr 23 16:00:04 +0000 2020, -122.078217, 47.931140, Wow wow wow! Huge congratulations to Senior Sophia Rennert for her GOLD MEDAL in the NATIONAL Scholastic Art Awards… https://t.co/rj5zDz8T6j 
booksbyapple, Thu Apr 23 16:00:06 +0000 2020, -122.260407, 47.804248, @blktinabelcher @marisabcrane Never heard of it. I'll have to Google that..... 
Djuna22, Thu Apr 23 16:00:08 +0000 2020, -122.330602, 47.614817, WA Supreme Court unanimously holds that person detained at the border was in custody for 5th Amendment purposes, de… https://t.co/VS0HrSrjsj 
daysharpie, Thu Apr 23 16:00:10 +0000 2020, -122.218075, 47.392311, Thank you! New music! 
Dennis3958, Thu Apr 23 16:00:10 +0000 2020, -122.641095, 45.777867, Yep! Dumber than a stump! 
C_Topps, Thu Apr 23 16:00:10 +0000 2020, -122.205946, 47.773496, @BrowardBabie I was like your coworker is hella racist to whoever picked up and he was like yo bro I know. He alrea… https://t.co/dtEDVN3QAL 
CpaCarter, Thu Apr 23 16:00:11 +0000 2020, -122.035069, 47.608120, @seyyed65shahab @Irani_in_DK @mariekemph @ghademoon_158 @realDonaldTrump You’re crazy. 😂🤣 
stingray649, Thu Apr 23 16:00:22 +0000 2020, -120.583402, 44.145437, 💩💩💩💩💩💩💩🍊 
domshyra, Thu Apr 23 16:00:22 +0000 2020, -122.630908, 45.536402, @_TheWand3r3r_ @obtother @zoramag sorry if i made you feel judged. i just truly want to know why you’re so reluctan… https://t.co/sXcSn5k0lV 
tinyhandstacoma, Thu Apr 23 16:00:24 +0000 2020, -122.455344, 47.242960, @VictoriaRage @KelleMartina I think also it brings a unique and hard to duplicate type of pleasure and satisfaction to the one serving you. 
Curiel_19, Thu Apr 23 16:00:26 +0000 2020, -120.252874, 47.424134, This song is a BANGER!!! 🎧🎧 
benny_vazquezz, Thu Apr 23 16:00:27 +0000 2020, -122.274055, 47.905972, That new @KayzoMusic and @calciumdubs thooooo 🥵🔥 
scnr, Thu Apr 23 16:00:29 +0000 2020, -122.771686, 45.547192, I'm at Forest Heights in Portland, OR https://t.co/44PIaDWdtW 
AdrianForJudge, Thu Apr 23 16:00:37 +0000 2020, -122.630908, 45.536402, https://t.co/VbG1rhPcfE 
holly_jean, Thu Apr 23 16:00:43 +0000 2020, -117.247875, 47.630038, Dear neighbor,I have been listening to you yell and cuss at your children everyday for the last five weeks and I… https://t.co/IIICzW0CYH 
loganb, Thu Apr 23 16:00:44 +0000 2020, -122.330602, 47.614817, @pickovven Wait, I’m confused. Do you consider it good or bad that the aluminum smelter is closed? 
NinaHimes, Thu Apr 23 16:00:47 +0000 2020, -122.330602, 47.614817, @KelsieAbrams3 https://t.co/SUwEoaTatw 
NBCsSMASH, Thu Apr 23 16:00:51 +0000 2020, -122.630908, 45.536402, HATRED, A MUSICALFeaturing @alyssahaning as RoseThis Sunday, 5 p.m. PDT on YouTube Live.💔🔪💵🌹 https://t.co/c5j3YBSc5s 
miqmiqmiq, Thu Apr 23 16:00:51 +0000 2020, -122.630908, 45.536402, @RaminaShlah You are also up on your tippy toes. 
Beth_Kerschen, Thu Apr 23 16:00:56 +0000 2020, -122.678249, 45.518237, RARE CHANCE! I have been partnering with Powell's Books here in Portland (the largest independent bookstore in the… https://t.co/fYR0RwuzKW 
Corit864, Thu Apr 23 16:00:57 +0000 2020, -120.583402, 44.145437, Ellen DeGeneres. Great outdoor show in California. 
MorgBGreat, Thu Apr 23 16:00:57 +0000 2020, -122.330602, 47.614817, @colderthan__ice @lank_ee @JoellasWorld That makes sense. I imagine your clothes are already a couple sizes larger… https://t.co/1ixIiUFle2 
steveconsultsp1, Thu Apr 23 16:00:59 +0000 2020, -117.434547, 47.667438, Hey guys, that Might be Factory Fresh!  I believe you could Order a 428 Cobra Jet in a '70 Torino Wagon! 🤔🇺🇸😎🏁 
c2cosmetics, Thu Apr 23 16:01:00 +0000 2020, -122.923516, 47.064528, that feeling when you take the rest of the coffee from the pot and accidentally put too much creamer 🥺😭 https://t.co/0flkkMGYL2 
Chatham253, Thu Apr 23 16:01:01 +0000 2020, -122.149768, 47.597856, This tweet reminds me of that episode of the TV show "Coach" where Hayden Fox is coaching the NFL &amp; has the #1 pick… https://t.co/LHIc6fDHLb 
CpaCarter, Thu Apr 23 16:01:02 +0000 2020, -122.035069, 47.608120, @EMyausuf @Toktam11324540 @Irani_in_DK @mariekemph @ghademoon_158 @realDonaldTrump Okay. Keep thinking like that. 
justmedrd, Thu Apr 23 16:01:07 +0000 2020, -122.588975, 45.630589, Pelosi,  take that white coat along with your ice cream and shove it up your ass. Lies lies lies 
KaliaJasmine, Thu Apr 23 16:01:09 +0000 2020, -122.630908, 45.536402, Are you more likely to Subscribe to an OnlyFans if it’s FREE?! 
SeahawksForever, Thu Apr 23 16:01:09 +0000 2020, -122.194398, 47.481598, @LordBadjujus Many scouts disagree with you. He’s going to go well before 27 
Mckick, Thu Apr 23 16:01:10 +0000 2020, -122.330602, 47.614817, @cwarzel I agree and have been saying this for a while. Consumer confidence is the so important in re-opening. The… https://t.co/rq8C4Di9OK 
dloitz, Thu Apr 23 16:01:12 +0000 2020, -122.630908, 45.536402, I feel like this gif was made of these types of people. I hope she gets to sit in jail for awhile.… https://t.co/7IlW8RWkxf 
MikeyPullman, Thu Apr 23 16:01:14 +0000 2020, -122.330602, 47.614817, @Badgirlsbedhead 🔥🔥🔥 
MargoBr27708264, Thu Apr 23 16:01:16 +0000 2020, -123.421838, 48.581983, @LiveKellyRyan @AliEWentworth Thks 4 reminder &amp; Ali's terrifying experience 🇨🇦🌍💯🤓 
Laurelbsteele, Thu Apr 23 16:01:21 +0000 2020, -122.330602, 47.614817, Obsession is my specialty 😌 
LeighTara87, Thu Apr 23 16:01:23 +0000 2020, -114.143262, 45.494552, 🎶💞 i know that's  gonna take some time 💞🎶https://t.co/W5zMdFlHxS 
ljeanderson2, Thu Apr 23 16:01:30 +0000 2020, -122.194398, 47.481598, @Acosta So please examine why otherwise seemingly smart strong people still cater to the whims of an ignorant abusi… https://t.co/bXS0ICkPPN 
tobint, Thu Apr 23 16:01:36 +0000 2020, -122.201905, 47.680319, @SeanOnTwt This is too amazing! Made me smile. 
